0.223,0.281,0.285,0.336
0.293,0.28,0.351,0.336
0.36,0.281,0.423,0.336
0.431,0.28,0.488,0.338
0.498,0.28,0.565,0.335
0.571,0.281,0.631,0.335
0.64,0.28,0.701,0.335
0.71,0.28,0.768,0.335
0.223,0.348,0.281,0.405
0.29,0.348,0.353,0.403
0.361,0.348,0.425,0.406
0.433,0.348,0.493,0.405
0.5,0.348,0.561,0.406
0.57,0.346,0.633,0.406
0.64,0.348,0.703,0.405
0.708,0.346,0.77,0.403
0.223,0.418,0.281,0.473
0.29,0.416,0.355,0.473
0.361,0.416,0.421,0.473
0.43,0.416,0.49,0.471
0.5,0.416,0.563,0.473
0.36,0.485,0.421,0.543
0.431,0.485,0.493,0.543
0.498,0.486,0.561,0.545
0.57,0.486,0.628,0.541
0.638,0.485,0.7,0.543
0.71,0.485,0.766,0.543
0.223,0.555,0.281,0.611
0.291,0.555,0.351,0.611
0.43,0.556,0.491,0.611
0.5,0.553,0.561,0.61
0.57,0.555,0.63,0.611
0.638,0.553,0.7,0.61
0.71,0.555,0.768,0.611
0.36,0.625,0.42,0.681
0.43,0.625,0.491,0.68
0.5,0.625,0.563,0.68
0.571,0.623,0.633,0.683
0.64,0.623,0.698,0.681
0.71,0.623,0.766,0.68
0.361,0.693,0.423,0.751
0.431,0.693,0.491,0.75
0.64,0.691,0.7,0.75
0.221,0.763,0.28,0.818
0.291,0.761,0.351,0.816
0.36,0.761,0.421,0.816
0.431,0.761,0.493,0.816
0.572,0.416,0.63,0.474
0.64,0.415,0.699,0.473
0.71,0.414,0.767,0.473
0.223,0.624,0.282,0.682
0.291,0.485,0.351,0.544
0.224,0.486,0.281,0.544
0.711,0.693,0.769,0.75
0.571,0.692,0.631,0.751
0.501,0.692,0.562,0.752
0.291,0.693,0.348,0.75
0.223,0.692,0.28,0.751
0.361,0.554,0.422,0.614
0.291,0.624,0.352,0.681
0.571,0.761,0.63,0.819
0.501,0.761,0.561,0.82
0.641,0.761,0.699,0.818
0.711,0.76,0.767,0.818
